,description,genre
400,"[saved, first, meeting, chicago, vampire, went, better, night, knew, vampires, limited, common, facts, drink, blood, get, mean, sunburn, find, alone, one, kill, broody, warin, clearly, reasons, sparing, life, tying, blood, known, much, trouble, attract, bet, bothered, secrets, even, know, came, pull, us, deep, eternal, war, vampires, witches, determined, rid, world, one, choice, fight, forces, breaking, die]",Fantasy
401,"[novel, girl, let, anything, tame, government, conquered, people, definitely, reform, school, malley, led, constables, merry, chase, across, country, parents, prison, part, failed, resistance, movement, government, wants, send, national, capture, capture, malley, carted, reformed, proper, subject, conquering, empire, reeducated, made, suitable, domestic, service, government, plan, malley, go, without, fight, determined, rally, fellow, students, form, rebellion, government, lock, girls, reform, school, whether, break, another, matter]",Children
402,"[intrepid, travelers, fin, marrill, shared, countless, thrilling, treacherous, adventures, magical, waters, pirate, stream, neither, could, expected, final, adventure, would, force, team, oldest, enemy, evil, wizard, serth, fate, stream, friends, hanging, balance, challenge, frightening, power, ever, come]",Fantasy
403,"[edition, cancelled, heat, vampire, catherine, adair, gave, trying, find, perfect, match, ages, ago, stop, founding, london, super, successful, vampire, dating, site, smoldering, vampire, overlord, past, launches, interspecies, service, catherine, vows, crush, two, competeronin, new, venture, purely, getting, catherine, attention, stopped, thinking, ever, since, night, gave, cold, shoulder, nobody, gets, away, ronin, mcdermott, easily, bite, nights, series, dating, undead, book, drop, dead, gorgeous, book, killer, smile, book]",Romance
404,"[princess, esofi, rhodia, crown, prince, albion, ieflaria, betrothed, since, children, never, met, age, seventeen, esofi, journey, ieflaria, wedding, always, expected, instead, offer, condolences, death, ieflaria, desperately, need, help, rhodia, dragon, problem, esofi, offered, new, betrothal, prince, albion, younger, sister, new, crown, princess, adale, adale, plans, taking, throne, leaving, esofi, battle, beasts]",Fantasy
405,"[chania, lived, life, seclusion, placed, amongst, humans, come, aid, ancestors, many, millenniums, kept, secreted, head, priestess, revered, goddess, people, knows, think, elven, princess, hiding, content, stay, shapeshifter, served, second, command, guardians, elven, empire, long, time, comes, long, line, kings, proven, worthy, position, life, proud, noble, golden, dragon, elf, pleased, sudden, match, making, ambitions, leader, though, especially, singled, mated, one, leader, daughters, give, without, fight, used, manner, father, guardians, forced, side, chania, learns, fate, happier, upcoming, nuptials, daeron, recognize, life, bond, share, circumstances, refuse, allow, dictate, future, fight, attraction, elf, ever, able, deny]",Fantasy
406,"[yahiro, never, thought, would, end, prison, let, alone, prison, ship, escape, impossible, none, mattered, anymore, curled, corner, cell, lights, went, turned, back, different, screams, injured, crash, corpses, make, sets, survivors, hopes, finding, way, finds, instead, three, golden, aliens, wo, let, sight, city, back, giant, beast, ghost, world, never, let, leave]",Fiction
407,"[please, say, stars, anyone, kill, takes, someone, know, really, hurt, takes, someone, love, break, heart, honestamente, amiguitos, importa, si, estoy, leyendo, un, volumen, de, paginas, un, issue, de, páginas, cuando, se, trata, de, saga, nada, es, suficiente, siempre, quedo, con, ganas, de, que, aprender, fortalecer, mi, paciencia, ya, que, voy, tener, que, esperar, un, mes, para, la, salida, de, cada, issue, spoiler, alertla, historia, se, complica, tenemos, dos, parejas, interraciales, dos, niños, mal, portados, una, pareja, de, reporteros, una, mascota, ghus, todos, en, fuga, de, camino, ninguna, parte, bordo, de, una, nave, espacial, en, forma, de, historia, de, bill, le, ...]",Fantasy
408,"[former, warrior, caught, gods, priests, must, fight, survival, family, dark, epic, fantasy, debut, set, harsh, arctic, world, inspired, scandinavian, indigenous, forbidding, fringes, tundra, years, marked, seasons, snow, humans, war, immortals, name, shared, gods, irjan, human, warrior, ruthless, lethal, legend, among, brethren, hunters, even, legends, grow, tired, weary, bloodshed, irjan, turns, back, oath, calling, hide, away, live, peaceful, life, farmer, husband, father, past, easily, left, behind, ambitious, village, priest, conspires, vengeful, comrades, irjan, forsaken, fragile, peace, northlands, davvieana, bloody, past, revealed, irjan, present, unravels, faces, ultimatum, return, hunt, immortals, lose, child, son, life, hanging, balance, irjan, follows, tracks, dark, desolate, forests, ...]",Fantasy
409,"[night, aunty, dies, raggedy, witches, come, mup, mam, pale, cold, relentless, anything, coax, mam, back, witches, borough, kidnap, mup, dad, mup, mam, must, leave, mundane, world, rescue, mam, strange, side, border, striding, powerful, distant, even, save, dad, mup, sure, anything, ever]",Fantasy
410,"[completely, unrealistic, poorly, inspired, execution, bad, much, salvage, begin, wendel, shadows, former, selves, even, bantering, feels, stretched, tired, attempt, compensate, bedroom, activities, falls, quite, short, positively, superfluous, overall, okay, book, quick, read, perplexing, plot, help, chapter, would, recommend, series, second, book, last, installment, filler, really, contribute, main, storyline, could, safely, skipped, feeling, said, grimaced, one, many, brushes, shrugged, brushed, hair, laughed, death, enemies, would, beg, rolled, eyes, put, résumé]",Fiction
411,"[reading, part, myths, magic, epic, fantasy, speculative, fiction, boxed, set, bec, mcmaster, one, favorite, urban, fantasy, authors, ever, since, started, reading, london, steampunk, series, back, personal, challenge, found, heroines, superbly, awesome, heroes, die, pretty, much, enjoyed, stories, released, burn, bright, definitely, another, winner, bit, weary, first, young, adult, fantasy, blurb, seemed, allude, involved, love, triangle, trope, totally, dislike, kept, going, trusted, mcmaster, would, still, satisfy, involve, love, triangle, kind, loved, myth, universe, darkness, trapped, forest, five, guardians, interesting, also, loved, mcmaster, took, different, route, beings, making, like, selkies, could, change, wolf, form, slipped, inside, wolf, skin, course, neva, awesome, casimir, ...]",Fantasy
412,"[meet, frida, divorce, lawyer, cynic, secret, descendant, immortal, love, god, eros, really, bad, day, handsome, clearly, delusional, man, named, dan, bursts, frida, office, insists, fated, save, world, ejected, faster, say, creepy, meeting, demon, three, one, attempted, kidnapping, later, frida, beginning, face, inconvenient, truth, dan, fact, oracle, gods, greek, mythology, real, frida, appears, everyone, world, jones, way, neil, gaiman, smart, quirky, story, change, way, look, love, warm, funny, love, story, difference, truly, story, modern, age]",Fantasy
413,"[world, stage, happens, behind, curtain, pure, jory, rest, backstagers, one, goal, semester, put, best, show, town, ever, seen, best, laid, plans, easy, achieve, entire, magical, world, lives, beyond, curtain, one, actors, suddenly, goes, missing, backstagers, must, band, together, save, comrade, maintain, natural, balance, theater, james, tynion, iv, detective, comics, woods, artist, rian, sygh, munchkin, stolen, forest, explore, means, outcast, looking, find, one, place, earnest, story, friendship]",Fantasy
414,"[helena, davies, wants, job, get, parents, basement, abernathy, bookstore, disorganized, way, smells, funny, pays, well, promises, least, interesting, idea, interesting, life, become, end, first, day, helena, dead, boss, basement, unexpected, promotion, news, part, endless, war, creatures, another, abernathy, newest, custodian, helena, responsible, secrets, including, important, one, abernathy, bookstore, world, living, oracle, producing, prophecies, help, fight, war, alien, invaders, bent, draining, world, magic, helena, job, find, books, answer, questions, put, oracle, wardens, fighters, long, war, seems, simple, enough, helena, new, job, anything, allies, best, friend, viv, secrets, harry, harriet, keller, elderly, magi, skilled, uncovering, secrets, enigmatic, malcolm, campbell, warrior, magus, one, ...]",Fantasy
415,"[quest, save, dreamside, continues, surprise, attack, sea, cucumber, finds, ripple, kingdom, home, white, sand, blue, waves, oh, yeah, giant, terrible, squid, monster, holding, almond, sir, carrot, captive, legendary, hero, rescue, companions, nefarious, splashmaster, nah, probably, thing, princess, nautilus, wit, charm, positive, attitude, way, lose, saving, day, wo, simple, seems, secret, comes, light, gigi, popular, webcomic, series, name, cucumber, quest, ripple, kingdom, second, book, clever, adorable, hilarious, heroic, adventure, sure, make, hungry, sweets, action]",Fantasy
416,"[dragon, deepest, desire, fiercest, royal, line, russian, dragon, shifters, rurik, barinov, spends, days, defending, family, homeland, rival, clans, night, sins, flesh, drinking, dancing, sex, keep, volatile, warrior, dragon, check, barely, choice, mortal, women, bed, interest, changing, ways, creature, molten, sex, poured, tiny, red, satin, dress, steps, nightclub, jagged, edge, raw, desire, nicks, impenetrable, armor, around, heart, charlotte, macqueen, told, since, childhood, stay, school, live, normal, life, leave, family, business, hunting, dragons, brothers, tonight, shed, chemist, lab, coat, infiltrated, enemy, lines, bag, dragon, never, expected, sexy, rurik, barinov, capture, body, soul, perfect, weapon, use, brothers, fall, brave, dragon, shifter, covets, heart, ...]",Fantasy
417,"[one, person, knows, plot, royal, familyand, cares, enough, try, stop, servant, girl, spends, days, scrubbing, floors, polishing, silver, meekly, curtsying, nobility, nothing, distinguishes, commoners, serving, palace, except, red, secret, friendship, rafe, crown, prince, leah, safe, ordinary, world, begins, splinter, unexpected, feelings, rafe, surface, parents, announce, betrothal, foreign, princess, unearths, plot, overthrow, royal, family, life, shatters, completely, queen, banishes, mysterious, group, nuns, leah, must, secure, rafe, safety, late, quest, reveals, villain, far, sinister, ambitious, nobleman, eye, common, maidservant, summon, courage, fight, dearest, friend]",Fantasy
418,"[course, want, like, beautiful, blades, forged, divine, fire, live, cardan, even, beautiful, rest, hate, others, hate, much, sometimes, look, hardly, seven, years, old, parents, murdered, two, sisters, stolen, away, live, treacherous, high, court, faerie, ten, years, later, jude, wants, nothing, belong, despite, mortality, many, fey, despise, humans, especially, prince, cardan, youngest, wickedest, son, high, win, place, court, must, defy, face, becomes, embroiled, palace, intrigues, deceptions, discovering, capacity, bloodshed, civil, war, threatens, drown, courts, faerie, violence, jude, need, risk, life, dangerous, alliance, save, sisters, faerie]",Fantasy
419,"[told, date, death, would, shape, present, new, york, city, lower, east, side, word, spread, arrival, mystical, woman, traveling, psychic, claims, able, tell, anyone, day, die, gold, adolescents, cusp, hear, prophecies, inform, next, five, decades, simon, escapes, west, coast, searching, love, san, francisco, dreamy, klara, becomes, las, vegas, magician, obsessed, blurring, reality, fantasy, eldest, son, daniel, seeks, security, army, doctor, hoping, control, fate, bookish, varya, throws, longevity, research, tests, boundary, science, immortality]",Fiction
420,"[call, father, liberator, warlord, reaper, feels, boy, falls, toward, pale, blue, planet, armor, red, army, vast, heart, heavy, tenth, year, war, decade, ago, darrow, hero, revolution, believed, would, break, chains, society, rising, shattered, everything, instead, peace, freedom, brought, endless, war, must, risk, everything, fought, one, last, desperate, mission, darrow, still, believes, save, everyone, save, throughout, worlds, destinies, entwine, darrow, change, fate, forever, young, red, girl, flees, tragedy, refugee, camp, achieves, new, life, could, never, broken, grief, forced, steal, valuable, thing, pay, lysander, au, lune, heir, exile, sovereign, wanders, stars, mentor, cassius, haunted, loss, world, darrow, transformed, dreaming, rise, rising, story, ...]",Fiction
421,"[kingdom, sempera, time, blood, bound, iron, consumed, add, time, one, lifespan, rich, aristocracy, like, gerlings, tax, poor, hilt, extending, lives, one, resents, gerlings, jules, ember, decade, ago, father, servants, everless, gerlings, palatial, estate, fateful, accident, forced, flee, dead, night, jules, discovers, father, dying, knows, must, return, everless, earn, time, loses, going, back, everless, brings, jules, could, ever, imagined, soon, caught, tangle, violent, secrets, finds, heart, torn, two, people, thought, never, see, decisions, power, change, fate, time]",Fantasy
422,"[alice, mother, spent, alice, life, road, always, step, ahead, uncanny, bad, luck, biting, heels, alice, grandmother, reclusive, author, book, fairy, tales, dies, alone, estate, hazel, wood, alice, learns, bad, luck, really, get, mother, stolen, figure, claims, come, hinterland, cruel, supernatural, world, grandmother, stories, set, alice, lead, message, mother, left, behind, stay, away, hazel, alice, long, steered, clear, grandmother, cultish, fans, choice, ally, classmate, ellery, finch, hinterland, superfan, may, reasons, wanting, help, retrieve, mother, alice, must, venture, first, hazel, wood, world, grandmother, tales, might, find, story, went, wrong]",Fantasy
423,"[batman, bruce, wayne, reckless, boy, willing, break, rules, girl, may, worst, nightwalkers, terrorizing, gotham, city, bruce, wayne, next, one, city, elites, executed, mansions, security, systems, turn, trapping, like, prey, meanwhile, bruce, turning, eighteen, inherit, family, fortune, mention, keys, wayne, enterprises, tech, gadgetry, heart, could, ever, desire, police, forced, community, service, arkham, asylum, infamous, prison, holds, city, brutal, wallace, brilliant, killer, bruce, arkham, bruce, meets, madeleine, brilliant, girl, ties, nightwalkers, hiding, speak, bruce, madeleine, mystery, bruce, must, unravel, getting, divulge, secrets, feeding, information, needs, bring, gotham, city, knees, bruce, walk, dark, line, trust, betrayal, nightwalkers, circle, closer]",Fiction
424,"[shalia, proud, daughter, desert, years, devastating, war, adjoining, kingdom, people, desperate, peace, willing, trade, freedom, ensure, safety, family, shalia, becomes, queen, soon, learns, husband, calix, motivated, desire, exterminate, people, control, earth, wind, air, fire, even, unsettling, shalia, feelings, husband, brother, unleash, power, earth, never, knew, power, could, get, killed, rumors, rebellion, calix, spread, shalia, must, choose, last, chance, peace, future, intense, richly, drawn, author, scarlet, hold, readers, spellbound]",Fantasy
425,"[children, ah, children, children, follow, foxes, open, wardrobes, peek, beneath, bridge, children, climb, walls, fall, wells, run, razor, edge, possibility, sometimes, sometimes, possible, surrenders, shows, way, go, home, often, give, books, series, three, five, stars, row, stories, speak, inner, part, curious, feminist, adventurer, longed, nothing, follow, lucy, wardrobe, narnia, harry, barrier, leading, platform, universe, brimming, timeless, magic, fairy, tales, seems, ca, get, enjoyed, first, two, books, every, heart, doorway, among, sticks, bones, see, reason, like, mcguire, back, new, story, featuring, familiar, faces, newbies, latest, adventure, portal, world, sees, characters, heading, land, confection, candy, land, words, place, described, almost, sickening, sweetness, ...]",Fantasy
426,"[gunslinging, amani, escaped, town, never, imagined, join, revolution, let, alone, lead, one, bloodthirsty, sultan, miraji, imprisoned, rebel, prince, ahmed, mythical, city, eremot, choice, armed, revolver, wits, untameable, demdji, powers, amani, must, rally, skeleton, crew, rebels, rescue, mission, unforgiving, desert, place, according, maps, exist, watches, loves, lay, lives, line, ghouls, enemy, soldiers, amani, questions, whether, leader, need, leading, deaths]",Fantasy
427,"[odessa, one, karthia, master, necromancers, catering, kingdom, ruling, dead, whenever, noble, dies, odessa, job, raise, retrieving, souls, dreamy, dangerous, shadow, world, called, deadlands, cost, raised, dead, must, remain, shrouded, risk, transforming, monsters, known, shades, even, hint, flesh, exposed, grotesque, transformation, dramatic, uptick, shade, attacks, raises, suspicions, fears, among, odessa, necromancer, community, soon, crushing, loss, one, reveals, disturbing, conspiracy, someone, intentionally, creating, shades, tearing, shrouds, dead, training, attack, odessa, faced, terrifying, question, necromancer, magic, weapon, brings, karthia, knees]",Fantasy
428,"[iko, audacious, android, best, friend, lunar, queen, cinder, tasked, hunting, alpha, lysander, steele, leader, rogue, band, bioengineered, threaten, undo, tenuous, peace, agreement, earth, luna, unless, cinder, reverse, mutations, forced, years, steele, soldiers, plan, satisfy, monstrous, appetites, massacre, innocent, people, show, serious, steele, taking, kai, scarlet, wolf, cress, thorne, winter, jacin, feature, epic, new, battle, iko, must, face, deepest, fears, uncovers, truth, unusual, programming]",Fantasy
429,"[riveting, conclusion, kingmaker, chronicles, available, january, catalia, fisa, help, pivotal, figures, past, cat, begins, understand, root, exceptional, magic, fated, union, griffin, sinta, griffin, role, shaping, cat, holds, key, unlocking, power, means, finally, accepting, past, future, order, protect, loved, ones, confront, murderous, mother, taking, final, terrifying, step, reuniting, three, realms, taking, place, queen, kill, make, stronger, hope]",Fantasy
430,"[kyra, youngest, markswoman, order, kali, one, handful, sisterhoods, highly, trained, elite, warriors, armed, blades, whose, metal, imbued, magic, guided, strict, code, conduct, orders, sworn, keep, peace, protect, people, asiana, kyra, pledged, secretly, harbors, fierce, desire, avenge, murdered, tamsyn, powerful, dangerous, mistress, mental, arts, assumes, control, order, kyra, forced, run, certain, tamsyn, committed, murder, twisted, bid, power, escapes, one, strange, transport, hubs, remnants, asiana, past, finds, unforgiving, wilderness, desert, home, order, khur, order, composed, men, among, rustan, disillusioned, marksman, whose, skill, blade, unmatched, understands, desperation, kyra, quest, prove, tamsyn, guilt, two, grow, closer, training, daily, windswept, dunes, khur, begin, question, commitment, ...]",Fantasy
431,"[octavia, ever, one, goal, follow, footsteps, parents, become, prestigious, whitecoat, one, scientists, study, natural, wonders, faloiv, secrets, jungle, exotic, plants, animals, protected, fiercely, labs, council, n, terra, rules, suddenly, change, allowing, students, inside, octavia, something, right, newly, elected, leader, council, extremist, views, way, believes, n, terra, run, influencing, others, follow, octavia, witnesses, one, indigenous, people, front, dark, night, knows, council, hiding, something, living, separate, worlds, shared, planet, fragile, peace, may, soon, turn, help, rondo, quiet, boy, class, skill, hacking, inquisitive, best, friend, alma, octavia, set, collision, course, discover, secrets, behind, history, taught, science, lived, truth, family]",Fiction
432,"[know, androma, racella, bloody, baroness, powerful, mercenary, whose, reign, terror, stretches, across, mirabel, galaxy, aboard, glass, starship, marauder, however, andi, friend, fearless, routine, mission, goes, awry, marauder, crew, tested, find, treacherous, situation, mercy, sadistic, bounty, hunter, andi, across, galaxy, ruthless, ruler, waits, shadows, planet, xen, ptera, biding, time, exact, revenge, destruction, people, pieces, deadly, plan, fall, place, unleashing, plot, tear, mirabel, crew, embark, dangerous, journey, could, restore, order, shipor, easily, start, war, devour, worlds, marauder, hurtles, toward, unknown, mirabel, hangs, balance, certainty, galaxy, run, lies, illusion, one, trusted]",Fiction
433,"[blade, heart, first, book, brilliant, new, young, adult, fantasy, duology, inspired, norse, mythology, new, york, times, bestselling, author, amanda, one, odin, valkyries, malin, greatest, responsibility, slay, immortals, return, underworld, balance, world, rests, ability, carry, orders, malin, discovers, mother, spared, life, immortal, destined, die, world, thrown, malin, wrestles, knowledge, mother, might, thought, also, thrust, path, gorgeous, guy, named, asher, needs, help, slaying, rogue, immortal, destroyed, family, malin, along, best, friend, must, decide, loyalties, lie, whether, helping, asher, enact, revenge, worth, world, heart]",Fantasy
434,"[concluding, part, science, fiction, trilogy, began, nnedi, okorafor, nebula, returned, home, planet, believing, violence, meduse, left, behind, unfortunately, although, people, peaceful, whole, said, khoush, fan, flames, ancient, rivalry, village, conflicts, start, binti, hurries, home, anger, resentment, already, claimed, lives, many, close, binti, intriguing, new, friend, mwinyi, intervene, though, elders, people, entirely, trust, motives, try, prevent, war, could, wipe, people, miss, essential, concluding, volume, binti, trilogy]",Fiction
435,"[darling, roman, empire, fight, brave, wary, win, caesar, love, earn, enemies, pay, price, winning, love, roman, people, caesar, victorious, highly, anticipated, sequel, valiant, fallon, warrior, sisters, find, thrust, vicious, conflict, rival, gladiator, academy, one, threaten, fallon, heart, love, roman, soldier, cai, heart, ancient, roman, dark, treachery, vicious, power, struggles, threaten, freedom, thing, might, help, girl, known, victrix, save, sisters, tribe, mythic, amazon, trouble, might, kill, first]",Fantasy
436,"[military, might, arcane, power, clash, django, wexler, thrilling, new, shadow, campaigns, beast, ancient, demon, imprisoned, beneath, elysium, thousand, years, loosed, world, absorbs, mind, mind, spreading, like, plague, north, fell, army, raised, threatens, heart, vordan, command, beast, greatest, prize, legendary, general, janus, bet, queen, raesinia, orboan, soldiers, marcus, ivoire, winter, ihernglass, grapple, aftermath, military, campaign, soon, discover, betrayal, never, could, foreseen, news, arrives, like, thunderbolt, janus, declared, rightful, emperor, vordan, chaos, grips, city, officers, regiments, forced, declare, queen, must, struggle, keep, country, control, risks, becoming, everything, fought, marcus, must, take, field, old, commander, man, seemed, unbeatable, strategist, winter, recovers, injuries, mourns, ...]",Fantasy
437,"[named, oprah, book, club, celestial, roy, embodiment, american, dream, new, south, young, executive, artist, brink, exciting, career, settle, routine, life, together, ripped, apart, circumstances, neither, could, imagined, roy, arrested, sentenced, twelve, years, crime, celestial, knows, commit, though, fiercely, independent, celestial, finds, bereft, unmoored, taking, comfort, andre, childhood, friend, best, man, wedding, roy, time, prison, passes, unable, hold, love, center, five, years, roy, conviction, suddenly, overturned, returns, atlanta, ready, resume, life, together]",Fiction
438,"[acclaimed, author, secrets, charmed, life, bridge, across, ocean, comes, new, novel, set, philadelphia, spanish, flu, epidemic, tells, story, family, reborn, loss, philadelphia, city, teeming, promise, even, young, men, went, fight, great, war, opportunities, fresh, start, cobblestone, streets, bustling, town, came, pauline, bright, husband, filled, hope, could, give, three, daughters, evelyn, maggie, willa, chance, better, months, arrive, spanish, flu, reaches, shores, america, pandemic, claims, twelve, thousand, victims, adopted, city, find, lives, left, world, looks, nothing, like, one, knew, even, lose, loved, ones, take, baby, orphaned, disease, becomes, single, source, hope, amidst, tragedy, challenges, learn, live, without, willing, bright, heaven, compelling, story, ...]", Non fiction
439,"[together, ten, years, sylvie, dan, trimmings, happy, life, marriage, comfortable, home, fulfilling, jobs, beautiful, twin, girls, communicate, seamlessly, finish, sentences, however, trip, doctor, projects, live, another, years, together, panic, sets, never, expected, death, us, part, mean, seven, name, marriage, survival, quickly, concoct, plan, keep, relationship, fresh, exciting, create, little, surprises, extended, years, together, never, become, boring, pursuit, execute, project, surprise, mishaps, arise, secrets, uncovered, start, threaten, foundation, unshakable, bond, scandal, past, revealed, question, important, untold, truths, begin, wonder, ever, really, knew]",Fiction
440,"[one, playing, long, game, one, meet, local, tavern, small, town, belleville, delaware, polly, set, heading, west, adam, says, also, passing, stays, mysterious, redhead, whose, quiet, stillness, unnerves, excites, course, punishing, summer, polly, adam, abandon, steamy, inexorable, affair, still, holds, something, back, even, lethal, secrets, begin, accumulate, autumn, approaches, feeding, growing, doubts, someone, dies, accident, part, plan, adam, polly, ensnared, lives, lies, neither, one, knows, get, even, want, love, strong, enough, withstand, truth, ultimately, destroy, one]",Fiction
441,"[death, beloved, grandmother, woman, travels, havana, discovers, roots, identity, unearths, family, secret, hidden, since, revolution, havana, daughter, sugar, baron, elisa, perez, part, cuba, high, society, largely, sheltered, country, growing, political, unrest, embarks, clandestine, affair, passionate, revolutionary, miami, freelance, writer, marisol, ferrera, grew, hearing, romantic, stories, cuba, late, grandmother, elisa, forced, flee, family, revolution, elisa, last, wish, marisol, scatter, ashes, country, birth, arriving, havana, marisol, comes, contrast, cuba, tropical, timeless, beauty, perilous, political, climate, family, history, comes, light, marisol, finds, attracted, man, secrets, need, lessons, grandmother, past, help, understand, true, meaning, courage]", Non fiction
442,"[readers, paris, wife, swans, fifth, avenue, comes, sensuous, captivating, account, forbidden, affair, two, women, people, eleanor, roosevelt, first, friend, lorena, hickok, meets, eleanor, roosevelt, reporting, franklin, roosevelt, first, presidential, campaign, grown, worse, poor, south, dakota, reinvented, prominent, woman, reporter, america, hick, known, friends, admirers, quite, instantly, charmed, idealistic, patrician, eleanor, connection, future, first, lady, deepens, intimacy, begins, powerful, passion, matures, lasting, love, life, hick, never, expected, moves, white, house, status, first, friend, open, secret, fdr, lovers, takes, job, roosevelt, administration, promoting, protecting, roosevelts, comes, know, franklin, great, president, complicated, rival, irresistible, friend, capable, changing, lives, even, death, even, hick, bond, ...]", Non fiction
443,"[medieval, kingdom, goredd, women, expected, ladies, men, protectors, dragons, get, whomever, want, tess, stubbornly, troublemaker, ca, make, scene, sister, wedding, break, relative, nose, one, punch, matter, pompous, suffer, consequences, family, plans, send, nunnery, tess, yanks, boots, sets, journey, across, southlands, alone, pretending, tess, headed, mystery, even, runs, old, friend, stroke, luck, friend, quigutl, subspecies, dragon, gives, purpose, protection, road, tess, guarding, troubling, secret, tumultuous, past, heavy, burden, carry, memories, tried, forget, threaten, expose, world, ways, one]",Fantasy
444,"[perfect, fans, heartbreaking, important, simple, readers, jodi, picoult, liane, moriarty, also, like, tenderhearted, debut, healing, family, narrated, unforgettable, boy, reminds, us, sometimes, littlest, bodies, hold, biggest, hearts, quietest, voices, speak, coat, closet, classmates, teacher, first, grader, zach, taylor, hear, gunshots, ringing, halls, school, gunman, entered, building, taking, nineteen, lives, irrevocably, changing, fabric, community, zach, mother, pursues, quest, justice, shooter, parents, holding, responsible, son, actions, zach, retreats, hideout, loses, world, books, art, armed, newfound, understanding, optimism, stubbornness, child, could, zach, sets, captivating, journey, towards, healing, forgiveness, determined, help, adults, life, rediscover, universal, truths, love, compassion, needed, pull, darkest, hours]",Fiction
445,"[timeless, exploration, romance, lengths, go, love, loved, zarin, wadia, many, things, bright, vivacious, student, orphan, risk, taker, also, kind, girl, parents, warn, kids, stay, away, troublemaker, whose, many, romances, subject, endless, gossip, school, want, get, involved, girl, like, say, porus, dumasia, ever, eyes, zarin, porus, end, dead, car, together, crashed, side, highway, jeddah, saudi, arabia, religious, police, arrive, scene, everything, everyone, thought, knew, zarin, questioned, story, pieced, together, told, multiple, perspectives, becomes, clear, far, girl, like, beautifully, written, debut, novel, tanaz, bhathena, reveals, rich, wonderful, new, world, readers, tackles, complicated, issues, race, identity, class, religion, paints, portrait, teenage, ambition, angst, ...]",Fiction
446,"[woman, defies, timedr, garrett, gibson, female, physician, england, daring, independent, take, pleasures, like, one, yet, never, tempted, embark, affair, ethan, ransom, former, detective, scotland, yard, gallant, secretive, rumored, assassin, whose, true, loyalties, mystery, one, exhilarating, night, give, potent, attraction, becoming, strangers, man, breaks, every, ruleas, ravenel, spurned, father, ethan, little, interest, polite, society, yet, captivated, bold, beautiful, garrett, despite, vow, resist, sublime, night, soon, drawn, dangerous, assignment, yet, mission, goes, wrong, take, garrett, skill, courage, save, face, menace, treacherous, government, plot, ethan, willing, take, risk, love, extraordinary, woman, ever, known]",Romance
447,"[debut, novel, set, background, hospital, rounds, decisions, pulses, humor, empathy, explores, heart, capacity, forgiveness, zadie, anson, emma, colley, best, friends, since, early, twenties, first, began, navigating, serious, romantic, relationships, amid, intensity, medical, school, happily, married, wives, mothers, successful, careers, zadie, pediatric, cardiologist, emma, trauma, surgeon, lives, charlotte, north, carolina, chaotic, fulfilling, return, former, colleague, unearths, secret, one, harboring, years, chief, resident, nick, xenokostas, center, zadie, life, professionally, personally, throughout, tragic, chain, events, third, year, medical, school, long, since, put, behind, nick, unexpected, reappearance, time, new, professional, crisis, shocks, women, deeper, look, difficult, choices, made, beginning, careers, becomes, evident, emma, must, ...]",Fiction
448,"[bestselling, tradition, hidden, figures, wives, los, alamos, comes, riveting, novel, everyday, women, worked, manhattan, project, world, war, ii, see, hear, let, stay, november, june, walker, boards, unmarked, bus, destined, city, officially, exist, oak, ridge, tennessee, sprung, matter, town, trailers, segregated, houses, cafeterias, constant, security, checks, june, joins, hundreds, young, girls, operating, massive, machines, whose, purpose, never, explained, know, helping, win, war, must, ask, questions, reveal, nothing, girls, spend, evenings, socializing, flirting, soldiers, scientists, workmen, dances, movies, bowling, alleys, canteens, june, longs, know, assignment, begins, affair, sam, cantor, young, jewish, physicist, new, york, oversees, lab, works, understands, end, goal, well, beautiful, ...]", Non fiction
449,"[incisive, contemporary, debut, teen, whose, parents, want, doctor, marry, taiwanese, ivy, leaguer, despite, squeamishness, germs, crush, japanese, seventeen, mei, high, school, skipping, fourth, grade, part, parents, master, plan, freshman, mit, track, fulfill, rest, predetermined, future, become, doctor, marry, preapproved, taiwanese, ivy, leaguer, produce, litter, everything, parents, sacrificed, make, cushy, life, reality, mei, ca, bring, tell, truth, hates, germs, falls, asleep, biology, lectures, crush, classmate, darren, takahashi, decidedly, mei, reconnects, brother, xing, estranged, family, dating, wrong, woman, mei, starts, wonder, secrets, truly, worth, find, way, whoever, web, lies, unravels]",Fiction
450,"[extraordinary, debut, novel, freshwater, explores, surreal, experience, fractured, self, centers, around, young, nigerian, woman, ada, develops, separate, selves, within, result, born, one, foot, side, unsettling, heartwrenching, dark, powerful, freshwater, sharp, evocation, rare, way, experiencing, world, one, illuminates, construct, begins, life, south, nigeria, troubled, baby, source, deep, concern, family, parents, saul, saachi, successfully, prayed, existence, grows, volatile, splintered, child, becomes, clear, something, went, terribly, awry, ada, comes, age, moves, america, college, group, selves, within, grows, power, agency, traumatic, assault, leads, crystallization, alternate, selves, asụghara, saint, vincent, ada, fades, background, mind, selves, protective, hedonistic, move, control, ada, life, spirals, dark, dangerous, various, ...]",Fiction
